Wavelength (nm),Intensity (uW)
591.513674,0.018988
592.340381,0.018904
592.930418,0.018818
593.680016,0.018730
594.452047,0.018638
595.191470,0.018547
595.890966,0.018452
596.586272,0.018353
597.386169,0.018253
598.065041,0.018150
598.837516,0.018047
599.787501,0.017944
600.239104,0.017839
601.069105,0.017730
601.754113,0.017621
602.478035,0.017511
603.411084,0.017396
603.892242,0.017281
604.677511,0.017164
605.408834,0.017047
606.112827,0.016927
606.921527,0.016805
607.520894,0.016680
608.315335,0.016555
609.050937,0.016428
609.769162,0.016298
610.568392,0.016168
611.172282,0.016040
611.960855,0.015913
612.679961,0.015786
613.404496,0.015657
614.196264,0.015524
614.805550,0.015390
615.564530,0.015254
616.316382,0.015118
617.033913,0.014980
617.848094,0.014841
618.436679,0.014705
619.218396,0.014571
619.953265,0.014436
620.670269,0.014298
621.467784,0.014159
622.069100,0.014017
622.845952,0.013874
623.589680,0.013733
624.289574,0.013592
625.281718,0.013452
625.679796,0.013311
626.466217,0.013171
627.167754,0.013033
627.919722,0.012891
628.907473,0.012747
629.303299,0.012607
630.076958,0.012467
630.753353,0.012328
631.492520,0.012190
632.316531,0.012053
632.913149,0.011916
633.710569,0.011778
634.403747,0.011639
635.158575,0.011496
636.155993,0.011355
636.538592,0.011216
637.321921,0.011079
638.030039,0.010944
638.747289,0.010812
639.472388,0.010680
640.146079,0.010548
640.865008,0.010415
641.632372,0.010280
642.346209,0.010148
643.413296,0.010019
643.732883,0.009891
644.484329,0.009764
645.220589,0.009636
645.943596,0.009508
646.994372,0.009384
647.319087,0.009259
648.100395,0.009133
648.833262,0.009009
649.533092,0.008888
650.327395,0.008766
650.929585,0.008646
651.707114,0.008528
652.391190,0.008411
653.137688,0.008295
654.171238,0.008178
654.507372,0.008061
655.287080,0.007946
656.000735,0.007835
656.705776,0.007726
657.514741,0.007618
658.097776,0.007510
658.881525,0.007403
659.535544,0.007295
660.248333,0.007186
661.095147,0.007078
661.670048,0.006974
662.442410,0.006873
663.170109,0.006773
663.881728,0.006673
664.618824,0.006574
665.254153,0.006477
666.008559,0.006382
666.741006,0.006287
667.442225,0.006192
668.127712,0.006098
668.815782,0.006007
669.587212,0.005916
670.309641,0.005827
671.007746,0.005738
671.786871,0.005652
672.376161,0.005565
673.107404,0.005477
673.843535,0.005393
674.542289,0.005310
675.336911,0.005228
675.933421,0.005149
676.705081,0.005071
677.407116,0.004991
678.120350,0.004913
678.851265,0.004836
679.495878,0.004758
680.229982,0.004682
680.969579,0.004608
681.672625,0.004535
682.445831,0.004462
683.047462,0.004392
683.810176,0.004322
685.235979,0.004186
685.986210,0.004117
686.589122,0.004050
687.368765,0.003983
688.761475,0.003858
689.508803,0.003796
690.133271,0.003734
690.885338,0.003675
691.613393,0.003616
692.330393,0.003556
693.046333,0.003496
693.664838,0.003438
694.437584,0.003381
695.154571,0.003326
695.812278,0.003272
696.604881,0.003219
697.207036,0.003167
697.959957,0.003115
698.643008,0.003064
699.383066,0.003013
700.150246,0.002965
700.726695,0.002917
701.462041,0.002870
702.189334,0.002825
702.865438,0.002780
703.678154,0.002735
704.238546,0.002690
704.964384,0.002645
705.727940,0.002602
706.407022,0.002560
707.153532,0.002519
707.764588,0.002479
708.493910,0.002439
709.233197,0.002399
709.913798,0.002360
710.694686,0.002320
711.277590,0.002282
712.042494,0.002244
712.717728,0.002207
713.446117,0.002170
714.199926,0.002134
714.784862,0.002099
715.500975,0.002065
716.255111,0.002030
716.937255,0.001996
717.689999,0.001963
718.288214,0.001930
719.034866,0.001898
719.742519,0.001867
720.452777,0.001837
721.201142,0.001807
721.786786,0.001778
722.537445,0.001749
723.251687,0.001719
723.919146,0.001691
724.662966,0.001663
725.282274,0.001637
726.024040,0.001611
726.736849,0.001585
727.413217,0.001560
728.201384,0.001535
728.767431,0.001511
729.470108,0.001486
730.215341,0.001461
730.893895,0.001437
731.675332,0.001413
732.248434,0.001390
732.999528,0.001368
733.699575,0.001346
734.406173,0.001325
735.134114,0.001304
735.718514,0.001283
736.481000,0.001262
737.180195,0.001241
737.862407,0.001222
738.595181,0.001203
739.196659,0.001183
739.941520,0.001165
740.620934,0.001146
741.329219,0.001128
742.067711,0.001110
742.665782,0.001092
743.389330,0.001075
744.119498,0.001059
744.801120,0.001043
745.537904,0.001027
746.126262,0.001011
746.835554,0.000996
747.565494,0.000980
748.244344,0.000965
749.021875,0.000950
749.571329,0.000935
750.303702,0.000921
751.027064,0.000909
751.702407,0.000896
752.405661,0.000883
753.036249,0.000870
753.777357,0.000858
754.456156,0.000846
755.167843,0.000835
755.901208,0.000824
756.483624,0.000814
757.223984,0.000804
757.922876,0.000793
758.581117,0.000783
759.357525,0.000772
759.922115,0.000759
760.647571,0.000746
761.352778,0.000734
762.033918,0.000722
762.764233,0.000710
763.356016,0.000699
764.076607,0.000688
764.791423,0.000677
765.428522,0.000666
766.220672,0.000655
766.797407,0.000644
767.531876,0.000634
768.221252,0.000624
768.892257,0.000615
769.657304,0.000605
770.217721,0.000596
770.926993,0.000587
771.641786,0.000578
772.300010,0.000570
773.047693,0.000561
773.633474,0.000553
774.334257,0.000544
775.057328,0.000536
775.744866,0.000528
776.476794,0.000521
777.049363,0.000513
777.753748,0.000506
778.479531,0.000499
779.158106,0.000492
779.893547,0.000485
780.442723,0.000478
781.170877,0.000472
781.872758,0.000465
782.576325,0.000459
783.248616,0.000453
783.858048,0.000446
784.578050,0.000440
785.297341,0.000434
785.968589,0.000429
786.701965,0.000423
787.259061,0.000418
787.995546,0.000413
788.687700,0.000408
789.335159,0.000403
790.096151,0.000397
790.656591,0.000392
791.395114,0.000387
792.054977,0.000383
792.746748,0.000378
793.462905,0.000374
794.032865,0.000369
794.746605,0.000365
795.443359,0.000361
796.111291,0.000357
796.832481,0.000353
797.430228,0.000349
798.159664,0.000345
798.836083,0.000341
799.493952,0.000337
800.230026,0.000333
0.000000,0.000000
