Wavelength (nm),Intensity (uW)
592.674820,0.019740
593.363874,0.019641
594.101569,0.019537
594.836064,0.019431
595.577846,0.019323
596.248922,0.019215
596.986659,0.019106
597.768402,0.018994
598.492311,0.018879
599.216740,0.018765
599.940812,0.018649
600.688853,0.018528
601.417409,0.018407
602.149237,0.018284
602.866740,0.018160
603.625370,0.018036
604.330723,0.017908
605.063769,0.017776
605.792992,0.017644
606.520198,0.017510
607.249505,0.017373
607.975514,0.017236
608.698821,0.017100
609.439529,0.016966
610.149218,0.016832
610.912641,0.016696
611.615043,0.016557
612.326275,0.016416
613.075660,0.016274
613.782363,0.016130
614.559516,0.015985
615.247039,0.015840
615.976913,0.015696
616.704080,0.015554
617.424248,0.015411
618.172138,0.015266
618.873771,0.015120
619.607578,0.014971
620.350003,0.014820
621.031522,0.014671
621.806198,0.014524
622.494662,0.014376
623.180684,0.014228
623.955897,0.014081
624.670482,0.013934
625.403250,0.013785
626.126475,0.013634
626.854692,0.013485
627.574849,0.013338
628.289564,0.013192
629.048355,0.013047
629.733472,0.012904
630.473885,0.012759
631.192805,0.012614
631.921359,0.012465
632.672867,0.012312
633.354352,0.012163
634.093005,0.012017
634.791552,0.011871
635.536294,0.011728
636.263320,0.011588
636.970741,0.011448
637.686181,0.011308
638.415051,0.011167
639.133686,0.011024
639.863235,0.010884
640.579200,0.010747
641.261828,0.010612
642.018535,0.010477
642.750639,0.010341
643.459560,0.010207
644.171351,0.010076
644.891687,0.009943
645.593182,0.009809
646.313225,0.009678
647.050055,0.009548
647.763492,0.009419
648.487921,0.009293
649.215387,0.009169
649.920681,0.009045
650.654945,0.008922
651.343030,0.008798
652.076366,0.008674
652.807343,0.008552
653.516332,0.008434
654.259655,0.008318
654.941945,0.008203
655.663365,0.008089
656.367293,0.007974
657.103809,0.007859
657.831475,0.007745
658.521369,0.007631
659.203237,0.007519
659.959703,0.007410
660.685485,0.007303
661.429788,0.007197
662.105860,0.007091
662.809058,0.006987
663.519669,0.006886
664.244266,0.006786
664.995301,0.006685
665.696090,0.006585
666.384138,0.006488
667.116707,0.006392
667.825990,0.006296
668.518600,0.006202
669.253021,0.006110
669.947007,0.006018
670.665001,0.005925
671.384092,0.005834
672.132049,0.005745
672.798808,0.005658
673.531911,0.005573
674.241666,0.005489
674.962834,0.005404
675.677738,0.005321
676.387505,0.005239
677.085637,0.005156
677.801678,0.005075
678.507291,0.004995
679.247364,0.004917
679.915176,0.004840
680.638298,0.004765
681.345186,0.004690
682.021119,0.004617
682.815666,0.004544
683.484346,0.004471
684.186814,0.004399
684.905243,0.004327
685.612756,0.004259
686.346383,0.004192
687.022973,0.004127
687.735437,0.004061
688.447261,0.003998
689.153721,0.003935
689.902449,0.003870
690.561037,0.003807
691.257815,0.003745
691.978040,0.003684
692.688274,0.003625
693.437583,0.003567
694.083997,0.003510
694.812600,0.003455
695.522593,0.003400
696.206655,0.003344
696.954694,0.003290
697.634959,0.003238
698.343645,0.003187
699.033704,0.003137
699.750679,0.003088
700.487433,0.003040
701.149529,0.002992
701.872055,0.002944
702.573148,0.002897
703.273966,0.002850
704.014241,0.002805
704.691136,0.002761
705.388569,0.002717
706.089915,0.002675
706.785914,0.002633
707.526262,0.002591
708.207180,0.002549
708.843766,0.002508
709.587545,0.002467
710.309521,0.002428
711.009586,0.002388
711.708477,0.002349
712.411041,0.002311
713.129262,0.002274
713.808666,0.002237
714.505384,0.002201
715.185405,0.002165
715.891799,0.002130
716.628947,0.002096
717.334112,0.002063
718.027365,0.002030
718.727253,0.001998
719.428605,0.001967
720.108678,0.001936
720.809848,0.001905
721.516014,0.001874
722.207563,0.001844
722.910180,0.001816
723.612755,0.001788
724.326769,0.001761
725.012848,0.001733
725.728291,0.001707
726.415861,0.001680
727.060346,0.001653
727.810850,0.001626
728.507477,0.001600
729.198513,0.001575
729.896644,0.001549
730.601541,0.001525
731.264200,0.001501
731.935580,0.001478
732.669493,0.001455
733.334475,0.001433
734.072848,0.001410
734.770295,0.001388
735.427159,0.001366
736.157913,0.001346
736.855354,0.001325
737.555336,0.001305
738.239911,0.001285
738.924778,0.001266
739.637458,0.001246
740.307632,0.001227
741.027692,0.001209
741.701139,0.001191
742.408003,0.001174
743.091282,0.001156
743.792954,0.001139
744.466871,0.001123
745.170848,0.001106
745.872315,0.001090
746.556627,0.001073
747.239303,0.001058
747.931263,0.001043
748.631869,0.001029
749.332511,0.001015
750.015411,0.001001
750.700104,0.000988
751.389966,0.000974
752.081876,0.000962
752.785230,0.000949
753.470649,0.000937
754.162141,0.000925
754.852378,0.000915
755.570003,0.000904
756.227492,0.000892
756.913660,0.000879
757.606296,0.000866
758.286973,0.000852
759.005860,0.000838
759.633682,0.000825
760.354629,0.000812
761.031244,0.000800
761.732938,0.000788
762.431305,0.000776
763.097817,0.000764
763.751920,0.000752
764.461166,0.000741
765.163535,0.000730
765.865818,0.000719
766.530895,0.000708
767.203230,0.000698
767.906280,0.000688
768.589031,0.000678
769.286463,0.000669
769.934616,0.000659
770.633062,0.000649
771.311916,0.000640
771.993498,0.000631
772.704935,0.000622
773.383400,0.000613
774.045731,0.000605
774.740589,0.000597
