Wavelength (nm),Transmission
591.513674,0.955088
592.340381,0.955010
592.930418,0.956313
593.680016,0.956500
594.452047,0.956699
595.191470,0.957247
595.890966,0.957788
596.586272,0.958115
597.386169,0.958096
598.065041,0.958987
598.837516,0.958966
599.787501,0.957504
600.239104,0.960284
601.069105,0.959934
601.754113,0.960804
602.478035,0.961236
603.411084,0.959796
603.892242,0.962388
604.677511,0.962211
605.408834,0.962717
606.112827,0.963465
606.921527,0.963115
607.520894,0.964864
608.315335,0.964551
609.050937,0.964654
609.769162,0.964658
610.568392,0.964049
611.172282,0.965781
611.960855,0.965335
612.679961,0.966066
613.404496,0.966639
614.196264,0.966471
614.805550,0.968459
615.564530,0.968029
616.316382,0.967850
617.033913,0.967902
617.848094,0.966948
618.436679,0.969011
619.218396,0.968775
619.953265,0.969477
620.670269,0.969937
621.467784,0.969365
622.069100,0.971239
622.845952,0.969993
623.589680,0.969967
624.289574,0.970707
625.281718,0.967089
625.679796,0.972197
626.466217,0.971727
627.167754,0.972486
627.919722,0.972012
628.907473,0.968270
629.303299,0.972931
630.076958,0.971991
630.753353,0.972988
631.492520,0.973176
632.316531,0.972621
632.913149,0.975416
633.710569,0.974429
634.403747,0.975069
635.158575,0.974305
636.155993,0.969893
636.538592,0.975137
637.321921,0.973830
638.030039,0.974252
638.747289,0.974931
639.472388,0.975397
640.146079,0.976568
640.865008,0.976186
641.632372,0.975060
642.346209,0.975601
643.413296,0.969613
643.732883,0.976750
644.484329,0.976241
645.220589,0.976047
645.943596,0.976057
646.994372,0.970681
647.319087,0.977997
648.100395,0.976614
648.833262,0.976320
649.533092,0.976612
650.327395,0.975078
650.929585,0.977183
651.707114,0.976241
652.391190,0.977511
653.137688,0.977172
654.171238,0.971234
654.507372,0.977633
655.287080,0.975711
656.000735,0.975856
656.705776,0.976527
657.514741,0.975473
658.097776,0.978565
658.881525,0.976863
659.535544,0.978133
660.248333,0.978216
661.095147,0.975555
661.670048,0.978269
662.442410,0.976679
663.170109,0.976274
663.881728,0.976183
664.618824,0.975978
665.254153,0.977993
666.008559,0.976973
666.741006,0.976526
667.442225,0.976702
668.127712,0.976702
668.815782,0.977038
669.587212,0.975870
670.309641,0.975667
671.007746,0.976257
671.786871,0.975561
672.376161,0.978051
673.107404,0.976638
673.843535,0.975959
674.542289,0.976095
675.336911,0.974551
675.933421,0.977423
676.705081,0.976340
677.407116,0.976485
678.120350,0.976608
678.851265,0.976359
679.495878,0.977392
680.229982,0.976034
680.969579,0.975240
681.672625,0.974695
682.445831,0.973650
683.047462,0.976768
683.810176,0.975173
685.235979,0.975432
685.986210,0.974195
686.589122,0.975759
687.368765,0.973214
688.761475,0.973472
689.508803,0.973084
690.133271,0.975263
690.885338,0.973969
691.613393,0.973712
692.330393,0.973065
693.046333,0.972521
693.664838,0.973721
694.437584,0.970999
695.154571,0.970664
695.812278,0.971648
696.604881,0.969889
697.207036,0.972157
697.959957,0.970228
698.643008,0.969816
699.383066,0.968233
700.150246,0.966934
700.726695,0.969501
701.462041,0.968315
702.189334,0.968179
702.865438,0.968676
703.678154,0.966260
704.238546,0.969054
704.964384,0.967441
705.727940,0.965464
706.407022,0.965541
707.153532,0.964701
707.764588,0.966977
708.493910,0.965345
709.233197,0.964134
709.913798,0.964922
710.694686,0.962924
711.277590,0.965361
712.042494,0.963662
712.717728,0.963957
713.446117,0.962593
714.199926,0.960561
714.784862,0.962787
715.500975,0.962239
716.255111,0.961011
716.937255,0.960845
717.689999,0.958786
718.288214,0.960075
719.034866,0.958268
719.742519,0.957359
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
