Wavelength (nm),Transmission
565.608323,3.959417
566.438210,3.962363
567.034729,4.013653
567.813607,4.035369
568.524962,4.034230
569.286695,4.049975
570.147448,4.081263
570.714051,4.074579
571.494157,4.085672
572.245160,4.111456
572.970080,4.128362
573.784204,4.153228
574.400545,4.182141
575.155713,4.173494
575.919697,4.189391
576.646432,4.256987
577.474831,4.361330
578.814711,4.391946
579.580764,4.423488
580.322762,4.346783
581.156678,4.243009
581.748715,4.219783
582.523320,4.175962
583.257229,4.139664
583.987020,4.779887
584.781085,9.191840
586.170994,11.849130
586.920640,15.013733
587.643483,18.752566
588.422792,21.999687
589.817667,21.714589
590.568028,20.717471
591.314574,18.416738
592.126970,14.972695
592.741321,11.936544
593.487545,11.004511
594.247707,11.763521
594.970911,13.113045
595.736676,15.344362
596.401584,18.818027
597.160841,21.859257
597.901479,22.525133
598.621533,20.784996
599.424514,18.305188
600.051908,15.645723
600.797495,12.304385
601.530910,9.197884
602.281868,7.865095
603.066353,7.909891
603.702431,8.125515
604.460181,8.425810
605.198694,9.133213
605.902124,9.873431
606.765282,10.894893
607.344570,12.840575
608.107833,15.206913
608.831870,19.756728
609.562178,26.353029
610.404849,35.586559
611.712128,37.573953
612.475661,37.578629
613.166137,36.308867
613.993677,36.294082
614.620766,38.415007
615.360232,42.682990
616.123914,48.942944
616.868097,55.416908
617.577592,58.337441
618.267459,54.978402
618.988994,47.859656
619.728420,38.873834
620.468038,28.451117
621.271683,19.706354
621.880665,15.633043
622.633354,14.969667
623.369402,15.406404
624.091237,16.668639
624.855195,17.414942
625.505174,17.542098
626.257380,18.869256
626.991692,21.502795
627.703642,24.488785
628.499427,27.579864
629.119751,30.829796
629.877336,32.548793
630.606239,30.851487
631.318245,27.399683
632.137398,24.596740
632.732629,24.750847
633.471706,27.355676
634.213364,31.050329
634.926549,35.853475
635.731496,39.967065
636.342240,40.939625
637.100930,39.332682
637.815309,39.759429
638.532251,43.688398
639.328405,53.641701
639.946887,72.176773
640.740718,94.221826
641.391293,114.127790
642.105598,125.268707
642.968967,113.471333
644.274044,90.849534
645.040004,64.030288
645.736629,41.618372
646.527443,23.927621
647.148399,10.297601
647.878590,4.533964
648.627944,4.116484
649.312019,5.921437
650.129817,12.421643
650.746595,22.343714
651.493182,32.748143
652.211656,44.090253
652.928677,55.831143
653.742854,63.763468
654.331140,64.519302
655.056883,59.529146
655.791725,51.933330
656.522790,42.175150
657.324262,30.116788
657.914893,20.027625
658.632877,15.241373
659.375974,14.119498
660.097884,15.495356
660.899228,19.251754
661.486321,24.324591
662.231956,28.185595
662.935618,29.223523
663.665260,26.580191
664.459879,21.595718
665.067106,16.545415
665.813917,11.679272
666.531775,8.531589
667.246029,11.484248
668.047975,19.511041
668.641088,28.277128
669.379852,37.126998
670.095949,44.976945
670.806558,50.198193
671.595647,51.627434
672.204143,49.848474
672.944438,47.050199
673.666309,43.738892
674.371181,38.809795
675.153084,33.515091
675.755955,28.299002
676.483662,22.560057
677.211991,16.523850
677.937431,10.351403
678.720637,5.753717
679.314235,3.948482
680.032278,3.822699
680.769092,3.795697
681.485958,3.781386
682.288247,3.781526
682.869695,3.794189
683.591514,3.791028
684.325509,3.778407
685.007359,3.804440
685.809293,3.833904
686.415281,3.835741
687.158061,3.847175
687.872011,3.821119
688.572974,3.796399
689.337865,3.823329
689.956101,3.833372
690.700105,3.844419
691.403080,4.782864
692.113452,9.477513
692.876786,17.913752
693.495029,27.137442
694.232976,35.937318
694.944868,43.510144
695.627562,47.229421
696.401786,44.378980
697.023667,37.097086
697.759366,28.383504
698.470567,19.062503
699.172860,10.378311
699.951068,5.252662
700.555583,4.136102
701.287377,5.038479
701.993611,17.274666
702.700573,49.886628
703.495053,92.825538
704.073690,138.963136
704.810800,184.174849
705.502908,211.589644
706.182676,215.974374
706.953585,193.294895
707.588310,151.129233
708.285499,106.889634
709.017660,62.892542
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
