"Data Set 2:Time(s)","Data Set 2:Potential(mV)","Data Set 2:Temperature(K)"
0,158.07914733886719,301.07172813415525
0.025000000000000001,162.33634948730469,301.07641448974607
0.050000000000000003,167.30499267578125,301.07954826354978
0.074999999999999997,172.98316955566406,301.08110466003416
0.10000000000000001,178.66134643554688,301.08110466003416
0.125,182.20901489257812,301.0826591491699
0.14999999999999999,185.75859069824219,301.08734741210935
0.17499999999999999,190.01579284667969,301.08734741210935
0.20000000000000001,194.98443603515625,301.08890190124509
0.22500000000000001,197.113037109375,301.09048118591306
0.25,198.5321044921875,301.09359016418455
0.27500000000000002,200.66261291503906,301.09672393798826
0.29999999999999999,203.50074768066406,301.09672393798826
0.32500000000000001,204.21028137207031,301.10141220092771
0.34999999999999998,202.79121398925781,301.1061023712158
0.375,202.79121398925781,301.10921325683591
0.40000000000000002,204.91981506347656,301.11079063415525
0.42499999999999999,202.79121398925781,301.11234703063963
0.45000000000000001,198.5321044921875,301.11390151977537
0.47499999999999998,196.40350341796875,301.11545600891111
0.5,194.98443603515625,301.11545600891111
0.52500000000000002,191.43486022949219,301.11858978271482
0.55000000000000004,186.46812438964844,301.12172355651853
0.57499999999999996,183.62808227539062,301.12483444213865
0.59999999999999998,181.49948120117188,301.12483444213865
0.625,178.66134643554688,301.12796821594236
0.65000000000000002,171.56410217285156,301.13107910156248
0.67500000000000004,165.88592529296875,301.13265838623045
0.69999999999999996,163.75541687011719,301.13421478271482
0.72499999999999998,159.49821472167969,301.1357711791992
0.75,152.40097045898438,301.13890304565427
0.77500000000000002,147.43232727050781,301.14045944213865
0.80000000000000004,146.72279357910156,301.14045944213865
0.82499999999999996,142.46559143066406,301.14201583862302
0.84999999999999998,138.20648193359375,301.14670410156248
0.875,134.65690612792969,301.14826049804685
0.90000000000000002,136.78741455078125,301.14983978271482
0.92500000000000004,134.65690612792969,301.15295066833494
0.94999999999999996,131.10923767089844,301.15608444213865
0.97499999999999998,129.69017028808594,301.15764083862302
1,132.52830505371094,301.1591972351074
1.0249999999999999,130.39970397949219,301.16075363159177
1.05,126.85012817382812,301.16233100891111
1.075,127.55966186523438,301.16388549804685
1.1000000000000001,131.10923767089844,301.16544380187986
1.125,131.10923767089844,301.1669982910156
1.1499999999999999,129.69017028808594,301.17013206481931
1.175,132.52830505371094,301.17324485778806
1.2,140.3350830078125,301.17480125427244
1.2250000000000001,142.46559143066406,301.17638053894041
1.25,145.30372619628906,301.17949142456052
1.2749999999999999,151.69143676757812,301.1810478210449
1.3,161.62681579589844,301.18262710571287
1.325,168.0145263671875,301.18418350219724
1.3500000000000001,171.56410217285156,301.18729438781736
1.375,178.66134643554688,301.18887367248533
1.3999999999999999,187.17765808105469,301.1904300689697
1.425,190.72532653808594,301.19198455810545
1.45,192.14439392089844,301.1950973510742
1.4750000000000001,196.40350341796875,301.19823303222654
1.5,202.79121398925781,301.19823303222654
1.5249999999999999,204.91981506347656,301.20292320251463
1.55,200.66261291503906,301.20759239196775
1.575,202.79121398925781,301.20914878845213
1.6000000000000001,205.62934875488281,301.21072807312009
1.625,203.50074768066406,301.21228446960447
1.6499999999999999,197.82257080078125,301.21539726257322
1.675,197.113037109375,301.21695365905759
1.7,198.5321044921875,301.21695365905759
1.7250000000000001,191.43486022949219,301.22008934020994
1.75,185.04714965820312,301.22320213317869
1.7749999999999999,182.91854858398438,301.2263359069824
1.8,180.78994750976562,301.22789230346677
1.825,172.98316955566406,301.22944869995115
1.8500000000000001,165.1763916015625,301.23256340026853
1.875,163.04588317871094,301.2341426849365
1.8999999999999999,160.20774841308594,301.23569717407224
1.925,150.98190307617188,301.23725547790525
1.95,143.88465881347656,301.23880996704099
1.9750000000000001,142.46559143066406,301.24194755554197
2,141.754150390625,301.24194755554197
2.0249999999999999,135.36834716796875,301.24506034851072
2.0499999999999998,128.98063659667969,301.24817314147947
2.0750000000000002,130.39970397949219,301.25130882263181
2.1000000000000001,133.23783874511719,301.25130882263181
2.125,128.98063659667969,301.25442161560056
2.1499999999999999,124.72152709960938,301.25753631591795
2.1749999999999998,128.98063659667969,301.25909271240232
2.2000000000000002,131.81877136230469,301.26067199707029
2.2250000000000001,128.98063659667969,301.26222839355466
2.25,128.27110290527344,301.26378479003904
2.2749999999999999,133.94737243652344,301.26689949035642
2.2999999999999998,138.916015625,301.26689949035642
2.3250000000000002,138.916015625,301.2684558868408
2.3500000000000001,139.62554931640625,301.27159156799314
2.375,147.43232727050781,301.27470626831052
2.3999999999999999,155.94863891601562,301.2762626647949
2.4249999999999998,158.78868103027344,301.27939834594724
2.4500000000000002,160.20774841308594,301.28251304626463
2.4750000000000001,170.14312744140625,301.284069442749
2.5,178.66134643554688,301.28562583923338
2.5249999999999999,180.08041381835938,301.28562583923338
2.5499999999999998,181.49948120117188,301.28874053955076
2.5750000000000002,188.59672546386719,301.29031982421873
2.6000000000000001,195.6939697265625,301.2918762207031
2.625,195.6939697265625,301.29499092102049
2.6499999999999999,196.40350341796875,301.29966201782224
2.6749999999999998,202.08168029785156,301.30279960632322
2.7000000000000002,206.33888244628906,301.30279960632322
2.7250000000000001,204.21028137207031,301.30591239929197
2.75,200.66261291503906,301.30902709960935
2.7749999999999999,203.50074768066406,301.31058349609373
2.7999999999999998,204.21028137207031,301.3121398925781
2.8250000000000002,198.5321044921875,301.3121398925781
2.8500000000000001,192.14439392089844,301.3137210845947
2.875,191.43486022949219,301.3137210845947
2.8999999999999999,190.01579284667969,301.31527748107908
2.9249999999999998,180.08041381835938,301.31527748107908
2.9500000000000002,172.27363586425781,301.31839218139646
2.9750000000000001,168.72406005859375,301.31994857788084
3,165.88592529296875,301.32150688171384
3.0249999999999999,155.23910522460938,301.32462158203123
3.0499999999999998,146.72279357910156,301.3277591705322
3.0750000000000002,145.30372619628906,301.33087196350095
3.1000000000000001,143.88465881347656,301.33087196350095
3.125,136.077880859375,301.33243026733396
3.1499999999999999,129.69017028808594,301.33554496765134
3.1749999999999998,132.52830505371094,301.33710327148435
3.2000000000000002,133.94737243652344,301.33865966796873
3.2250000000000001,128.98063659667969,301.33865966796873
3.25,125.43106079101562,301.3417972564697
3.2749999999999999,128.98063659667969,301.34491195678709
3.2999999999999998,132.52830505371094,301.34646835327146
3.3250000000000002,131.10923767089844,301.34802665710447
3.3500000000000001,131.10923767089844,301.35269966125486
3.375,138.20648193359375,301.35583724975584
3.3999999999999999,146.01325988769531,301.35583724975584
3.4249999999999998,145.30372619628906,301.35739364624021
3.4500000000000002,148.85139465332031,301.36050834655759
3.4750000000000001,157.36961364746094,301.3620666503906
3.5,167.30499267578125,301.36362495422361
3.5249999999999999,168.72406005859375,301.36362495422361
3.5499999999999998,170.8526611328125,301.36673965454099
3.5750000000000002,180.08041381835938,301.368297958374
3.6000000000000001,186.46812438964844,301.36985435485838
3.625,187.17765808105469,301.37299385070799
3.6499999999999999,188.59672546386719,301.37610664367674
3.6749999999999998,194.98443603515625,301.37922325134275
3.7000000000000002,200.66261291503906,301.38078155517576
3.7250000000000001,198.5321044921875,301.38233795166013
3.75,197.113037109375,301.38389625549314
3.7749999999999999,202.08168029785156,301.38701286315916
3.7999999999999998,205.62934875488281,301.38701286315916
3.8250000000000002,202.79121398925781,301.38856925964353
3.8500000000000001,199.951171875,301.39168586730955
3.875,203.50074768066406,301.39324417114256
3.8999999999999999,207.04841613769531,301.39480056762693
3.9249999999999998,202.79121398925781,301.39794006347654
3.9500000000000002,199.24163818359375,301.40105476379392
3.9750000000000001,202.79121398925781,301.40572967529295
4,204.21028137207031,301.40728797912595
4.0250000000000004,198.5321044921875,301.40884628295896
4.0499999999999998,192.8558349609375,301.41196098327634
4.0750000000000002,193.56536865234375,301.41351928710935
4.0999999999999996,194.27490234375,301.41507568359373
4.125,187.88719177246094,301.41663398742674
4.1500000000000004,179.37088012695312,301.41975059509275
4.1749999999999998,180.08041381835938,301.42286720275877
4.2000000000000002,177.24037170410156,301.42442550659177
4.2249999999999996,170.14312744140625,301.42600669860838
4.25,160.20774841308594,301.42912139892576
4.2750000000000004,160.20774841308594,301.43223800659177
4.2999999999999998,158.07914733886719,301.43379631042478
4.3250000000000002,148.85139465332031,301.43379631042478
4.3499999999999996,141.754150390625,301.4369129180908
4.375,143.17512512207031,301.43847122192381
4.4000000000000004,142.46559143066406,301.44002952575681
4.4249999999999998,135.36834716796875,301.44002952575681
4.4500000000000002,131.81877136230469,301.44314613342283
4.4749999999999996,132.52830505371094,301.44782104492185
4.5,133.94737243652344,301.44937934875486
4.5250000000000004,128.98063659667969,301.45093765258787
4.5499999999999998,126.14059448242188,301.45405235290525
4.5750000000000002,131.10923767089844,301.4571708679199
4.5999999999999996,133.23783874511719,301.4571708679199
4.625,134.65690612792969,301.45872917175291
