"Data Set 1:Time(s)","Data Set 1:Potential(mV)"
0,283.69903564453125
0.02,280.86090087890625
0.040000000000000001,280.1513671875
0.059999999999999998,280.1513671875
0.080000000000000002,278.73039245605469
0.10000000000000001,280.1513671875
0.12,280.86090087890625
0.14000000000000001,280.1513671875
0.16,280.1513671875
0.17999999999999999,280.1513671875
0.20000000000000001,278.73039245605469
0.22,279.43992614746094
0.23999999999999999,279.43992614746094
0.26000000000000001,280.1513671875
0.28000000000000003,280.86090087890625
0.29999999999999999,282.27996826171875
0.32000000000000001,283.69903564453125
0.34000000000000002,282.989501953125
0.35999999999999999,285.82763671875
0.38,283.69903564453125
0.40000000000000002,283.69903564453125
0.41999999999999998,282.989501953125
0.44,282.989501953125
0.46000000000000002,282.989501953125
0.47999999999999998,282.989501953125
0.5,284.4085693359375
0.52000000000000002,283.69903564453125
0.54000000000000004,287.24861145019531
0.56000000000000005,287.95814514160156
0.57999999999999996,290.08674621582031
0.59999999999999998,290.79627990722656
0.62,291.50581359863281
0.64000000000000001,293.63441467285156
0.66000000000000003,293.63441467285156
0.68000000000000005,292.21534729003906
0.69999999999999996,292.92488098144531
0.71999999999999997,292.21534729003906
0.73999999999999999,291.50581359863281
0.76000000000000001,290.79627990722656
0.78000000000000003,290.08674621582031
0.80000000000000004,289.37721252441406
0.81999999999999995,287.95814514160156
0.83999999999999997,287.24861145019531
0.85999999999999999,285.82763671875
0.88,284.4085693359375
0.90000000000000002,284.4085693359375
0.92000000000000004,284.4085693359375
0.93999999999999995,282.989501953125
0.95999999999999996,283.69903564453125
0.97999999999999998,282.989501953125
1,282.27996826171875
1.02,282.27996826171875
1.04,280.86090087890625
1.0600000000000001,280.86090087890625
1.0800000000000001,278.02085876464844
1.1000000000000001,277.31132507324219
1.1200000000000001,276.60179138183594
1.1399999999999999,275.89225769042969
1.1599999999999999,275.89225769042969
1.1799999999999999,275.18272399902344
1.2,275.89225769042969
1.22,277.31132507324219
1.24,277.31132507324219
1.26,279.43992614746094
1.28,281.5704345703125
1.3,282.27996826171875
1.3200000000000001,285.11810302734375
1.3400000000000001,285.82763671875
1.3600000000000001,285.82763671875
1.3799999999999999,286.53717041015625
1.3999999999999999,286.53717041015625
1.4199999999999999,285.82763671875
1.4399999999999999,285.82763671875
1.46,284.4085693359375
1.48,283.69903564453125
1.5,282.27996826171875
1.52,281.5704345703125
1.54,278.02085876464844
1.5600000000000001,276.60179138183594
1.5800000000000001,275.89225769042969
1.6000000000000001,275.18272399902344
1.6200000000000001,275.18272399902344
1.6399999999999999,273.76365661621094
1.6599999999999999,273.76365661621094
1.6799999999999999,275.18272399902344
1.7,275.89225769042969
1.72,275.89225769042969
1.74,276.60179138183594
1.76,278.73039245605469
1.78,278.73039245605469
1.8,278.02085876464844
1.8200000000000001,275.89225769042969
1.8400000000000001,277.31132507324219
1.8600000000000001,277.31132507324219
1.8799999999999999,278.02085876464844
1.8999999999999999,279.43992614746094
1.9199999999999999,280.86090087890625
1.9399999999999999,281.5704345703125
1.96,282.27996826171875
1.98,282.989501953125
2,285.82763671875
2.02,285.11810302734375
2.04,285.11810302734375
2.0600000000000001,285.82763671875
2.0800000000000001,286.53717041015625
2.1000000000000001,287.24861145019531
2.1200000000000001,287.24861145019531
2.1400000000000001,287.95814514160156
2.1600000000000001,287.95814514160156
2.1800000000000002,287.95814514160156
2.2000000000000002,287.24861145019531
2.2200000000000002,289.37721252441406
2.2400000000000002,289.37721252441406
2.2599999999999998,291.50581359863281
2.2799999999999998,294.34585571289062
2.2999999999999998,295.05538940429688
2.3199999999999998,294.34585571289062
2.3399999999999999,294.34585571289062
2.3599999999999999,293.63441467285156
