"Data Set 2:Time(s)","Data Set 2:Potential(mV)","Data Set 2:Temperature(K)"
5.2249999999999996,124.72152709960938,301.62541427612302
5.25,119.75288391113281,301.62541427612302
5.2750000000000004,116.91474914550781,301.62697448730466
5.2999999999999998,120.46241760253906,301.62697448730466
5.3250000000000002,122.59292602539062,301.62541427612302
5.3499999999999996,119.75288391113281,301.62387695312498
5.375,117.62428283691406,301.62541427612302
5.4000000000000004,120.46241760253906,301.62541427612302
5.4249999999999998,124.01199340820312,301.62387695312498
5.4500000000000002,120.46241760253906,301.62231674194334
5.4749999999999996,117.62428283691406,301.62387695312498
5.5,120.46241760253906,301.62387695312498
5.5250000000000004,124.01199340820312,301.62231674194334
5.5499999999999998,121.17385864257812,301.62075843811033
5.5750000000000002,117.62428283691406,301.62387695312498
5.5999999999999996,121.17385864257812,301.62231674194334
5.625,124.72152709960938,301.62075843811033
5.6500000000000004,122.59292602539062,301.62075843811033
5.6749999999999998,117.62428283691406,301.62075843811033
5.7000000000000002,123.30245971679688,301.62075843811033
5.7249999999999996,126.14059448242188,301.61919822692869
5.75,122.59292602539062,301.61919822692869
5.7750000000000004,121.17385864257812,301.62075843811033
5.7999999999999998,124.72152709960938,301.61919822692869
5.8250000000000002,128.98063659667969,301.61763801574705
5.8499999999999996,124.72152709960938,301.61763801574705
5.875,121.17385864257812,301.61919822692869
5.9000000000000004,124.72152709960938,301.61919822692869
5.9249999999999998,127.55966186523438,301.61763801574705
5.9500000000000002,125.43106079101562,301.61763801574705
5.9749999999999996,120.46241760253906,301.61763801574705
6,125.43106079101562,301.61763801574705
6.0250000000000004,128.27110290527344,301.61607971191404
6.0499999999999998,124.72152709960938,301.61607971191404
6.0750000000000002,121.88339233398438,301.61763801574705
6.0999999999999996,124.72152709960938,301.61763801574705
6.125,128.98063659667969,301.61607971191404
6.1500000000000004,125.43106079101562,301.6145195007324
6.1749999999999998,120.46241760253906,301.61607971191404
6.2000000000000002,124.01199340820312,301.61607971191404
6.2249999999999996,128.27110290527344,301.6145195007324
6.25,123.30245971679688,301.6145195007324
6.2750000000000004,120.46241760253906,301.6145195007324
6.2999999999999998,123.30245971679688,301.61607971191404
6.3250000000000002,126.14059448242188,301.6145195007324
6.3499999999999996,121.17385864257812,301.6145195007324
6.375,116.20521545410156,301.6145195007324
6.4000000000000004,120.46241760253906,301.6145195007324
6.4249999999999998,124.01199340820312,301.61295928955076
6.4500000000000002,119.04335021972656,301.61295928955076
6.4749999999999996,114.78614807128906,301.6145195007324
6.5,120.46241760253906,301.61295928955076
6.5250000000000004,122.59292602539062,301.61295928955076
6.5499999999999998,118.33381652832031,301.61139907836912
6.5750000000000002,116.91474914550781,301.61295928955076
6.5999999999999996,120.46241760253906,301.61295928955076
6.625,124.72152709960938,301.61295928955076
6.6500000000000004,119.75288391113281,301.61139907836912
6.6749999999999998,116.91474914550781,301.61139907836912
6.7000000000000002,121.88339233398438,301.61139907836912
6.7249999999999996,125.43106079101562,301.61139907836912
6.75,121.88339233398438,301.60983886718748
6.7750000000000004,120.46241760253906,301.61139907836912
6.7999999999999998,124.01199340820312,301.61139907836912
6.8250000000000002,127.55966186523438,301.60983886718748
6.8499999999999996,125.43106079101562,301.60983886718748
6.875,123.30245971679688,301.60983886718748
6.9000000000000004,128.27110290527344,301.60983886718748
6.9249999999999998,133.23783874511719,301.60830345153806
6.9500000000000002,129.69017028808594,301.60830345153806
6.9749999999999996,126.85012817382812,301.60830345153806
7,130.39970397949219,301.60983886718748
7.0250000000000004,133.23783874511719,301.60830345153806
7.0499999999999998,128.27110290527344,301.60674324035642
7.0750000000000002,124.01199340820312,301.60830345153806
7.0999999999999996,125.43106079101562,301.60830345153806
7.125,126.14059448242188,301.60674324035642
7.1500000000000004,122.59292602539062,301.60674324035642
7.1749999999999998,119.04335021972656,301.60674324035642
7.2000000000000002,123.30245971679688,301.60674324035642
7.2249999999999996,124.72152709960938,301.60674324035642
7.25,120.46241760253906,301.60518302917478
7.2750000000000004,118.33381652832031,301.60518302917478
7.2999999999999998,121.88339233398438,301.60518302917478
7.3250000000000002,125.43106079101562,301.60362472534177
7.3499999999999996,121.88339233398438,301.60362472534177
7.375,119.75288391113281,301.60362472534177
7.4000000000000004,124.01199340820312,301.60362472534177
7.4249999999999998,127.55966186523438,301.60206451416013
7.4500000000000002,125.43106079101562,301.60206451416013
7.4749999999999996,123.30245971679688,301.60206451416013
7.5,127.55966186523438,301.60206451416013
7.5250000000000004,127.55966186523438,301.60050621032713
7.5499999999999998,125.43106079101562,301.59894599914549
7.5750000000000002,124.01199340820312,301.60050621032713
7.5999999999999996,126.14059448242188,301.60050621032713
7.625,128.27110290527344,301.59894599914549
7.6500000000000004,126.14059448242188,301.59738578796384
7.6749999999999998,125.43106079101562,301.59894599914549
7.7000000000000002,126.14059448242188,301.59894599914549
7.7249999999999996,128.27110290527344,301.59738578796384
7.75,127.55966186523438,301.59582748413084
7.7750000000000004,126.14059448242188,301.59738578796384
7.7999999999999998,128.27110290527344,301.59738578796384
7.8250000000000002,128.98063659667969,301.59582748413084
7.8499999999999996,128.98063659667969,301.59426536560056
7.875,128.98063659667969,301.59426536560056
7.9000000000000004,129.69017028808594,301.59582748413084
7.9249999999999998,131.81877136230469,301.59426536560056
7.9500000000000002,132.52830505371094,301.59272994995115
7.9749999999999996,131.81877136230469,301.59272994995115
8,133.94737243652344,301.59272994995115
8.0250000000000004,136.077880859375,301.59272994995115
8.0500000000000007,136.077880859375,301.59116973876951
8.0749999999999993,136.78741455078125,301.59116973876951
8.0999999999999996,136.78741455078125,301.59272994995115
8.125,138.20648193359375,301.59116973876951
8.1500000000000004,138.20648193359375,301.5896114349365
8.1750000000000007,138.20648193359375,301.59116973876951
