"Data Set 2:Time(s)","Data Set 2:Potential(mV)","Data Set 2:Temperature(K)"
29.649999999999999,140.3350830078125,298.2003234863281
29.675000000000001,141.04461669921875,298.20511665344236
29.699999999999999,133.23783874511719,298.20671501159666
29.725000000000001,127.55966186523438,298.20831336975095
29.75,129.69017028808594,298.21150817871091
29.774999999999999,131.10923767089844,298.21470489501951
29.800000000000001,126.85012817382812,298.21789970397947
29.824999999999999,121.88339233398438,298.21789970397947
29.850000000000001,126.14059448242188,298.22107353210447
29.875,131.10923767089844,298.22267189025877
29.899999999999999,128.98063659667969,298.22427024841306
29.925000000000001,128.27110290527344,298.22586860656736
29.949999999999999,134.65690612792969,298.22746696472166
29.975000000000001,141.04461669921875,298.23226013183591
30,139.62554931640625,298.23545684814451
30.024999999999999,141.754150390625,298.23705520629881
30.050000000000001,150.98190307617188,298.24025001525877
30.074999999999999,158.07914733886719,298.2450241088867
30.100000000000001,158.78868103027344,298.24662246704099
30.125,160.20774841308594,298.24822082519529
30.149999999999999,170.14312744140625,298.24981918334959
30.175000000000001,178.66134643554688,298.25141563415525
30.199999999999999,180.78994750976562,298.25461425781248
30.225000000000001,182.91854858398438,298.25621261596677
30.25,189.30625915527344,298.25780906677244
30.274999999999999,196.40350341796875,298.26418151855466
30.300000000000001,196.40350341796875,298.26577987670896
30.324999999999999,196.40350341796875,298.26577987670896
30.350000000000001,201.37214660644531,298.26897659301756
30.375,206.33888244628906,298.27217330932615
30.399999999999999,203.50074768066406,298.27374877929685
30.425000000000001,201.37214660644531,298.27374877929685
30.449999999999999,204.21028137207031,298.27534904479978
30.475000000000001,205.62934875488281,298.27854576110838
30.5,199.951171875,298.28174247741697
30.524999999999999,195.6939697265625,298.28174247741697
30.550000000000001,195.6939697265625,298.28653755187986
30.574999999999999,194.27490234375,298.28971328735349
30.600000000000001,186.46812438964844,298.29131164550779
30.625,180.08041381835938,298.29291000366209
30.649999999999999,178.66134643554688,298.29450836181638
30.675000000000001,176.53083801269531,298.29770698547361
30.699999999999999,168.72406005859375,298.29928245544431
30.725000000000001,161.62681579589844,298.30088272094724
30.75,160.91728210449219,298.30248107910154
30.774999999999999,158.78868103027344,298.30567779541013
30.800000000000001,150.27236938476562,298.30727615356443
30.824999999999999,141.754150390625,298.30887641906736
30.850000000000001,143.17512512207031,298.31205024719236
30.875,142.46559143066406,298.31524887084959
30.899999999999999,136.077880859375,298.31844558715818
30.925000000000001,130.39970397949219,298.31844558715818
30.949999999999999,131.10923767089844,298.32002296447752
30.975000000000001,132.52830505371094,298.32481994628904
31,126.85012817382812,298.32481994628904
31.024999999999999,123.30245971679688,298.32641830444334
31.050000000000001,126.85012817382812,298.32799377441404
31.074999999999999,130.39970397949219,298.3327926635742
31.100000000000001,127.55966186523438,298.33598937988279
31.125,126.14059448242188,298.33758964538572
31.149999999999999,131.10923767089844,298.34076347351072
31.175000000000001,136.077880859375,298.34556236267088
31.199999999999999,136.78741455078125,298.34873809814451
31.225000000000001,137.4969482421875,298.34873809814451
31.25,145.30372619628906,298.35033836364744
31.274999999999999,154.52957153320312,298.35353507995603
31.300000000000001,155.94863891601562,298.35511245727537
31.324999999999999,158.78868103027344,298.35511245727537
31.350000000000001,167.30499267578125,298.35831108093259
31.375,175.11177062988281,298.36150970458982
31.399999999999999,175.11177062988281,298.36468544006345
31.425000000000001,176.53083801269531,298.36628570556638
31.449999999999999,184.33761596679688,298.36788406372068
31.475000000000001,190.01579284667969,298.37266006469724
31.5,189.30625915527344,298.37425842285154
31.524999999999999,190.01579284667969,298.37425842285154
31.550000000000001,195.6939697265625,298.37585868835447
31.574999999999999,199.951171875,298.3790344238281
31.600000000000001,199.24163818359375,298.38063468933103
31.625,197.82257080078125,298.38223304748533
31.649999999999999,204.21028137207031,298.38381042480466
31.675000000000001,207.04841613769531,298.38860931396482
31.699999999999999,203.50074768066406,298.39178504943845
31.725000000000001,201.37214660644531,298.39178504943845
31.75,203.50074768066406,298.39498367309568
31.774999999999999,204.91981506347656,298.39816131591795
31.800000000000001,199.24163818359375,298.39976158142088
31.824999999999999,193.56536865234375,298.40135993957517
31.850000000000001,194.27490234375,298.4029602050781
31.875,194.98443603515625,298.40613784790037
31.899999999999999,187.88719177246094,298.40773620605466
31.925000000000001,182.91854858398438,298.40773620605466
31.949999999999999,183.62808227539062,298.41091384887693
31.975000000000001,182.91854858398438,298.41571273803709
32,175.11177062988281,298.41729011535642
32.024999999999999,168.72406005859375,298.41889038085935
32.049999999999997,168.0145263671875,298.42049064636228
32.075000000000003,164.46685791015625,298.42366638183591
32.100000000000001,157.36961364746094,298.42526664733884
32.125,148.85139465332031,298.42526664733884
32.149999999999999,148.14186096191406,298.42846527099607
32.174999999999997,146.01325988769531,298.43164482116697
32.200000000000003,138.20648193359375,298.43324317932127
32.225000000000001,132.52830505371094,298.43324317932127
32.25,132.52830505371094,298.43802108764646
32.274999999999999,132.52830505371094,298.44279899597166
32.299999999999997,127.55966186523438,298.44597663879392
32.325000000000003,124.01199340820312,298.44757690429685
32.350000000000001,126.85012817382812,298.44917526245115
32.375,128.27110290527344,298.45235481262205
32.399999999999999,127.55966186523438,298.45395317077634
32.424999999999997,126.85012817382812,298.45555534362791
32.450000000000003,130.39970397949219,298.45713081359861
32.475000000000001,134.65690612792969,298.46033134460447
32.5,135.36834716796875,298.46191062927244
32.524999999999999,135.36834716796875,298.46351089477537
32.549999999999997,140.3350830078125,298.46668853759763
32.575000000000003,141.754150390625,298.46988906860349
32.600000000000001,139.62554931640625,298.47306671142576
32.625,136.78741455078125,298.47306671142576
32.649999999999999,140.3350830078125,298.47466697692869
32.674999999999997,145.30372619628906,298.47784461975095
32.700000000000003,145.30372619628906,298.47944488525388
32.725000000000001,146.72279357910156,298.48104515075681
32.75,150.27236938476562,298.48262443542478
32.774999999999999,153.82003784179688,298.48582305908201
32.799999999999997,152.40097045898438,298.48900260925291
32.825000000000003,153.11050415039062,298.49060287475584
32.850000000000001,159.49821472167969,298.49378242492674
32.875,164.46685791015625,298.496960067749
32.899999999999999,170.8526611328125,298.49856033325193
32.924999999999997,174.40223693847656,298.5001396179199
32.950000000000003,181.49948120117188,298.50173988342283
32.975000000000001,187.17765808105469,298.50334014892576
33,190.72532653808594,298.50651779174802
33.024999999999999,194.98443603515625,298.50651779174802
33.049999999999997,198.5321044921875,298.50811805725095
33.075000000000003,201.37214660644531,298.51289787292478
33.100000000000001,201.37214660644531,298.51447715759275
33.125,203.50074768066406,298.51607742309568
33.149999999999999,204.21028137207031,298.51925697326658
33.174999999999997,204.91981506347656,298.52243461608884
33.200000000000003,202.79121398925781,298.52403488159177
33.225000000000001,200.66261291503906,298.5256351470947
33.25,200.66261291503906,298.52721443176267
33.274999999999999,198.5321044921875,298.53041687011716
33.299999999999997,194.98443603515625,298.5319942474365
33.325000000000003,191.43486022949219,298.5319942474365
33.350000000000001,187.88719177246094,298.5351737976074
33.375,185.04714965820312,298.54473342895506
33.399999999999999,179.37088012695312,298.54951324462888
33.424999999999997,173.69270324707031,298.54951324462888
33.450000000000003,168.0145263671875,298.55269279479978
33.475000000000001,163.75541687011719,298.55587425231931
33.5,155.94863891601562,298.55747451782224
33.524999999999999,151.69143676757812,298.55747451782224
33.549999999999997,146.01325988769531,298.55907478332517
33.575000000000003,142.46559143066406,298.56225433349607
33.600000000000001,138.916015625,298.56543388366697
33.625,133.23783874511719,298.56543388366697
33.649999999999999,130.39970397949219,298.56861343383787
33.674999999999997,128.98063659667969,298.57179298400877
33.700000000000003,128.27110290527344,298.57339515686033
33.725000000000001,126.85012817382812,298.5749744415283
33.75,125.43106079101562,298.57657470703123
33.774999999999999,126.85012817382812,298.57975425720213
33.799999999999997,128.27110290527344,298.58135643005369
33.825000000000003,129.69017028808594,298.58293380737302
33.850000000000001,131.10923767089844,298.58293380737302
33.875,133.94737243652344,298.58771743774412
33.899999999999999,136.077880859375,298.58931770324705
33.924999999999997,138.916015625,298.59089508056638
33.950000000000003,141.754150390625,298.59407653808591
33.975000000000001,143.88465881347656,298.59725608825681
34,149.56283569335938,298.60045852661131
34.024999999999999,153.11050415039062,298.60045852661131
34.049999999999997,156.65817260742188,298.60203781127927
34.075000000000003,160.20774841308594,298.60521926879881
34.100000000000001,168.0145263671875,298.60681953430174
34.125,172.27363586425781,298.6083988189697
34.149999999999999,178.66134643554688,298.6083988189697
34.174999999999997,182.91854858398438,298.6115783691406
34.200000000000003,190.72532653808594,298.61475982666013
34.225000000000001,193.56536865234375,298.6163619995117
34.25,196.40350341796875,298.61794128417966
34.274999999999999,199.951171875,298.62272300720213
34.299999999999997,202.79121398925781,298.62432327270506
34.325000000000003,204.21028137207031,298.62590446472166
34.350000000000001,202.79121398925781,298.62750473022459
34.375,202.79121398925781,298.63068618774412
34.399999999999999,202.08168029785156,298.63226547241209
34.424999999999997,200.66261291503906,298.63226547241209
34.450000000000003,197.113037109375,298.63544692993162
34.475000000000001,196.40350341796875,298.63862838745115
34.5,196.40350341796875,298.64180793762205
34.524999999999999,191.43486022949219,298.64341011047361
34.549999999999997,187.88719177246094,298.64659156799314
34.575000000000003,185.04714965820312,298.64977302551267
34.600000000000001,182.20901489257812,298.6529544830322
34.625,177.24037170410156,298.65453186035154
34.649999999999999,171.56410217285156,298.6561340332031
34.674999999999997,168.0145263671875,298.6577152252197
34.700000000000003,165.1763916015625,298.66089668273924
34.725000000000001,160.91728210449219,298.6624988555908
34.75,153.82003784179688,298.66407623291013
34.774999999999999,148.14186096191406,298.66725769042966
34.799999999999997,148.14186096191406,298.67044105529783
34.825000000000003,145.30372619628906,298.67204322814939
34.850000000000001,141.04461669921875,298.67362251281736
34.875,140.3350830078125,298.67680206298826
34.899999999999999,140.3350830078125,298.67840614318845
34.924999999999997,138.916015625,298.67998542785642
34.950000000000003,134.65690612792969,298.68158569335935
34.975000000000001,133.23783874511719,298.68316688537595
35,133.23783874511719,298.68476905822752
35.024999999999999,131.81877136230469,298.68634834289549
35.049999999999997,128.27110290527344,298.68795051574705
35.075000000000003,127.55966186523438,298.69271125793455
35.100000000000001,128.98063659667969,298.69589462280271
35.125,128.27110290527344,298.69747390747068
35.149999999999999,124.72152709960938,298.69907608032224
35.174999999999997,126.14059448242188,298.70225944519041
35.200000000000003,130.39970397949219,298.70383872985838
35.225000000000001,130.39970397949219,298.70544090270994
35.25,129.69017028808594,298.70702209472654
35.274999999999999,132.52830505371094,298.70860137939451
35.299999999999997,138.20648193359375,298.71020355224607
35.325000000000003,141.04461669921875,298.71178283691404
35.350000000000001,142.46559143066406,298.7133850097656
35.375,147.43232727050781,298.71814765930174
35.399999999999999,155.23910522460938,298.7197498321533
35.424999999999997,160.20774841308594,298.72291030883787
35.450000000000003,162.33634948730469,298.72291030883787
35.475000000000001,168.72406005859375,298.72769393920896
35.5,177.24037170410156,298.72927513122556
35.524999999999999,180.08041381835938,298.73087730407713
35.549999999999997,182.20901489257812,298.73087730407713
35.575000000000003,185.75859069824219,298.7340377807617
35.600000000000001,192.14439392089844,298.73721923828123
35.625,195.6939697265625,298.73721923828123
35.649999999999999,194.98443603515625,298.73882331848142
35.674999999999997,197.82257080078125,298.74358596801756
35.700000000000003,203.50074768066406,298.74834861755369
35.725000000000001,203.50074768066406,298.74995079040525
35.75,199.951171875,298.75311317443845
35.774999999999999,202.08168029785156,298.75629653930662
35.799999999999997,204.21028137207031,298.75787582397459
35.825000000000003,202.79121398925781,298.75947799682615
35.850000000000001,196.40350341796875,298.75947799682615
35.875,194.98443603515625,298.76266136169431
35.899999999999999,194.98443603515625,298.76582183837888
35.924999999999997,190.72532653808594,298.76582183837888
35.950000000000003,182.91854858398438,298.76742591857908
35.975000000000001,180.08041381835938,298.77218856811521
36,178.66134643554688,298.77537193298338
36.024999999999999,170.8526611328125,298.77695312499998
36.049999999999997,163.04588317871094,298.77695312499998
36.075000000000003,158.78868103027344,298.78013648986814
36.100000000000001,158.07914733886719,298.78331985473631
36.125,151.69143676757812,298.78331985473631
36.149999999999999,143.88465881347656,298.78490104675291
36.174999999999997,141.04461669921875,298.78808441162107
36.200000000000003,141.04461669921875,298.78966369628904
36.225000000000001,136.78741455078125,298.79124488830564
36.25,131.10923767089844,298.79442825317381
36.274999999999999,128.98063659667969,298.7976135253906
36.299999999999997,130.39970397949219,298.80079689025877
36.325000000000003,128.27110290527344,298.80237617492674
36.350000000000001,124.01199340820312,298.80237617492674
36.375,126.14059448242188,298.80556144714353
36.399999999999999,130.39970397949219,298.80872383117674
36.424999999999997,131.10923767089844,298.80872383117674
36.450000000000003,128.98063659667969,298.8103260040283
36.475000000000001,131.10923767089844,298.8119071960449
36.5,137.4969482421875,298.81509056091306
36.524999999999999,138.916015625,298.81667175292966
36.549999999999997,138.20648193359375,298.81827392578123
36.575000000000003,143.88465881347656,298.82143630981443
36.600000000000001,151.69143676757812,298.82462158203123
36.625,155.23910522460938,298.82620277404783
36.649999999999999,156.65817260742188,298.8277820587158
36.674999999999997,162.33634948730469,298.83096733093259
36.700000000000003,170.14312744140625,298.83256950378416
36.725000000000001,172.27363586425781,298.83415069580076
36.75,172.98316955566406,298.83573188781736
36.774999999999999,178.66134643554688,298.83731307983396
36.799999999999997,185.75859069824219,298.84049835205076
36.825000000000003,187.17765808105469,298.84207954406736
36.850000000000001,188.59672546386719,298.84368362426756
36.875,193.56536865234375,298.84844818115232
36.899999999999999,198.5321044921875,298.85161056518552
36.924999999999997,198.5321044921875,298.85321273803709
36.950000000000003,197.113037109375,298.85637702941892
36.975000000000001,201.37214660644531,298.85956230163572
37,205.62934875488281,298.86114158630369
37.024999999999999,203.50074768066406,298.86272468566892
37.049999999999997,200.66261291503906,298.86432685852049
37.075000000000003,202.79121398925781,298.86590805053709
37.100000000000001,204.91981506347656,298.86909332275388
37.125,199.951171875,298.87067451477049
37.149999999999999,196.40350341796875,298.87225570678709
37.174999999999997,196.40350341796875,298.87544097900388
37.200000000000003,197.113037109375,298.87860527038572
37.225000000000001,190.72532653808594,298.88020744323728
37.25,184.33761596679688,298.88178863525388
37.274999999999999,184.33761596679688,298.88336982727049
37.299999999999997,183.62808227539062,298.88495101928709
37.325000000000003,176.53083801269531,298.88655509948728
37.350000000000001,169.43359375,298.88813819885252
37.375,169.43359375,298.89130058288572
37.399999999999999,167.30499267578125,298.89448585510252
37.424999999999997,158.78868103027344,298.89606704711912
37.450000000000003,151.69143676757812,298.89764823913572
37.475000000000001,151.69143676757812,298.90083541870115
37.5,148.85139465332031,298.90402069091795
37.524999999999999,143.17512512207031,298.90560188293455
37.549999999999997,137.4969482421875,298.90718307495115
37.575000000000003,138.20648193359375,298.90876617431638
37.600000000000001,138.916015625,298.91036834716795
37.625,132.52830505371094,298.91194953918455
37.649999999999999,126.14059448242188,298.91353263854978
37.674999999999997,128.98063659667969,298.91511383056638
37.700000000000003,131.10923767089844,298.91988220214841
37.725000000000001,127.55966186523438,298.92146339416502
37.75,124.01199340820312,298.92304458618162
37.774999999999999,128.98063659667969,298.92781295776365
37.799999999999997,133.23783874511719,298.92939414978025
37.825000000000003,131.10923767089844,298.93258132934568
37.850000000000001,130.39970397949219,298.93258132934568
37.875,137.4969482421875,298.93574562072752
37.899999999999999,144.59419250488281,298.94686355590818
37.924999999999997,144.59419250488281,298.95637741088865
37.950000000000003,146.01325988769531,298.95796051025388
37.975000000000001,153.11050415039062,298.96114578247068
38,160.91728210449219,298.96272888183591
38.024999999999999,163.04588317871094,298.96272888183591
38.049999999999997,163.04588317871094,298.96272888183591
38.075000000000003,172.27363586425781,298.96431007385252
38.100000000000001,179.37088012695312,298.96589317321775
38.125,180.08041381835938,298.96747436523435
38.149999999999999,180.78994750976562,298.96908035278318
38.174999999999997,188.59672546386719,298.97224464416502
38.200000000000003,194.98443603515625,298.97540893554685
38.225000000000001,193.56536865234375,298.97701301574705
38.25,192.14439392089844,298.97859611511228
38.274999999999999,199.24163818359375,298.98017730712888
38.299999999999997,203.50074768066406,298.98334159851072
38.325000000000003,201.37214660644531,298.98492469787595
38.350000000000001,199.951171875,298.98492469787595
38.375,203.50074768066406,298.98811187744138
38.399999999999999,205.62934875488281,298.98969306945799
38.424999999999997,202.08168029785156,298.99127616882322
38.450000000000003,197.82257080078125,298.99285736083982
38.475000000000001,200.66261291503906,298.99762763977049
38.5,202.08168029785156,298.99921073913572
38.524999999999999,196.40350341796875,299.00237503051756
38.549999999999997,192.14439392089844,299.00395812988279
38.575000000000003,193.56536865234375,299.00556411743162
38.600000000000001,196.40350341796875,299.00872840881345
38.625,192.14439392089844,299.01030960083006
38.649999999999999,187.88719177246094,299.01189270019529
38.674999999999997,191.43486022949219,299.01189270019529
38.700000000000003,193.56536865234375,299.01505889892576
38.725000000000001,188.59672546386719,299.01666297912595
38.75,185.04714965820312,299.01824607849119
38.774999999999999,186.46812438964844,299.01982917785642
38.799999999999997,185.04714965820312,299.02457656860349
38.825000000000003,180.08041381835938,299.02615966796873
38.850000000000001,171.56410217285156,299.02776374816892
38.875,170.8526611328125,299.02934684753416
38.899999999999999,167.30499267578125,299.03251304626463
38.924999999999997,157.36961364746094,299.03409423828123
38.950000000000003,147.43232727050781,299.03567733764646
38.975000000000001,146.72279357910156,299.0372604370117
39,144.59419250488281,299.04044952392576
39.024999999999999,136.78741455078125,299.04203071594236
39.049999999999997,131.10923767089844,299.04203071594236
39.075000000000003,133.23783874511719,299.04519691467283
39.100000000000001,133.23783874511719,299.04994621276853
39.125,128.98063659667969,299.05313339233396
39.149999999999999,124.01199340820312,299.0547164916992
39.174999999999997,127.55966186523438,299.05788269042966
39.200000000000003,133.23783874511719,299.06104888916013
39.225000000000001,131.81877136230469,299.06263198852537
39.25,132.52830505371094,299.06263198852537
39.274999999999999,141.04461669921875,299.0642150878906
39.299999999999997,148.14186096191406,299.06737937927244
39.325000000000003,148.85139465332031,299.0705684661865
39.350000000000001,150.27236938476562,299.0705684661865
39.375,160.20774841308594,299.07373466491697
39.399999999999999,169.43359375,299.07690086364744
39.424999999999997,171.56410217285156,299.07848396301267
39.450000000000003,172.98316955566406,299.08006706237791
