TITLE	
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/10/20
TIME	15:31:38
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  649.8934
LASTX	 4000.6047
NPOINTS	    3476
FIRSTY	    90.93753
MAXY	   100.05249
MINY	    13.18448
XYDATA
940.1277	92.06
941.0919	92.5558
942.0562	93.0369
943.0204	93.4622
943.9846	93.8011
944.9489	94.0347
945.9131	94.1585
946.8773	94.1828
947.8416	94.128
948.8058	94.0137
949.7700	93.8473
950.7343	93.6191
951.6985	93.3059
952.6627	92.882
953.6270	92.3289
954.5912	91.6378
955.5554	90.8052
956.5197	89.8268
957.4839	88.6977
958.4481	87.4217
959.4124	86.0244
960.3766	84.563
961.3408	83.1249
962.3051	81.8179
963.2693	80.7528
964.2335	80.028
965.1978	79.7165
966.1620	79.8577
967.1262	80.452
968.0905	81.4575
969.0547	82.7914
970.0189	84.3401
970.9832	85.9765
971.9474	87.5813
972.9116	89.0627
973.8759	90.3648
974.8401	91.4666
975.8043	92.3741
976.7686	93.1089
977.7328	93.7
978.6970	94.1762
979.6613	94.5631
980.6255	94.8801
981.5897	95.1407
982.5540	95.3522
983.5182	95.517
984.4824	95.6346
985.4467	95.7044
986.4109	95.7283
987.3751	95.7134
988.3394	95.6714
989.3036	95.6161
990.2678	95.5587
991.2321	95.5062
992.1963	95.4621
993.1605	95.4285
994.1248	95.4044
995.0890	95.3797
996.0532	95.3276
997.0175	95.2066
997.9817	94.9768
998.9459	94.6279
999.9102	94.2014
1000.8744	93.7902
1001.8386	93.5065
1002.8029	93.4328
1003.7671	93.5811
1004.7313	93.885
1005.6956	94.2289
1006.6598	94.4993
1007.6240	94.6268
1008.5883	94.601
1009.5525	94.4538
1010.5167	94.2275
1011.4810	93.9479
1012.4452	93.6114
1013.4094	93.1903
1014.3737	92.6479
1015.3379	91.9585
1016.3021	91.1191
1017.2664	90.1417
1018.2306	89.0171
1019.1948	87.6666
1020.1591	85.917
1021.1233	83.5478
1022.0875	80.4236
1023.0518	76.6626
1024.0160	72.7413
1024.9802	69.4398
1025.9445	67.608
1026.9087	67.8434
1027.8729	70.2335
1028.8372	74.3012
1029.8014	79.1849
1030.7656	83.9636
1031.7299	87.9625
1032.6941	90.9008
1033.6583	92.8478
1034.6226	94.0587
1035.5868	94.8038
1036.5510	95.2724
1037.5153	95.5633
1038.4795	95.7238
1039.4437	95.7865
1040.4080	95.7837
1041.3722	95.742
1042.3364	95.6773
1043.3007	95.5968
1044.2649	95.5059
1045.2291	95.4101
1046.1934	95.3115
1047.1576	95.2045
1048.1218	95.0765
1049.0861	94.9157
1050.0503	94.7187
1051.0145	94.4919
1051.9788	94.244
1052.9430	93.9763
1053.9072	93.6765
1054.8715	93.3226
1055.8357	92.8915
1056.7999	92.3646
1057.7642	91.7257
1058.7284	90.9521
1059.6926	90.0103
1060.6569	88.8582
1061.6211	87.4528
1062.5853	85.7499
1063.5496	83.6959
1064.5138	81.224
1065.4780	78.2836
1066.4423	74.9145
1067.4065	71.3401
1068.3707	68.015
1069.3350	65.5637
1070.2992	64.5989
1071.2634	65.4837
1072.2277	68.1564
1073.1919	72.1144
1074.1561	76.5804
1075.1204	80.7699
1076.0846	84.1317
1077.0488	86.456
1078.0131	87.8279
1078.9773	88.4868
1079.9415	88.6803
1080.9058	88.5808
1081.8700	88.2747
1082.8342	87.793
1083.7985	87.1459
1084.7627	86.3392
1085.7269	85.3741
1086.6912	84.2421
1087.6554	82.9228
1088.6196	81.3869
1089.5839	79.6019
1090.5481	77.5389
1091.5123	75.1804
1092.4766	72.5292
1093.4408	69.6195
1094.4050	66.528
1095.3693	63.381
1096.3335	60.3495
1097.2977	57.6214
1098.2620	55.3512
1099.2262	53.5991
1100.1904	52.2877
1101.1547	51.207
1102.1189	50.0754
1103.0831	48.6427
1104.0474	46.7916
1105.0116	44.5973
1105.9758	42.3182
1106.9401	40.3239
1107.9043	38.991
1108.8685	38.6087
1109.8328	39.3251
1110.7970	41.1404
1111.7612	43.9368
1112.7255	47.5208
1113.6897	51.6626
1114.6539	56.123
1115.6182	60.6725
1116.5824	65.1054
1117.5466	69.2524
1118.5109	72.9918
1119.4751	76.2552
1120.4393	79.0257
1121.4036	81.3285
1122.3678	83.2151
1123.3320	84.7481
1124.2963	85.9879
1125.2605	86.9866
1126.2247	87.7862
1127.1890	88.4207
1128.1532	88.9193
1129.1174	89.3078
1130.0817	89.6101
1131.0459	89.8493
1132.0101	90.0475
1132.9744	90.226
1133.9386	90.4028
1134.9028	90.5892
1135.8671	90.7857
1136.8313	90.9819
1137.7955	91.1602
1138.7598	91.3029
1139.7240	91.3991
1140.6882	91.4481
1141.6525	91.4575
1142.6167	91.437
1143.5809	91.3926
1144.5452	91.324
1145.5094	91.2259
1146.4736	91.0921
1147.4379	90.9198
1148.4021	90.7117
1149.3663	90.4744
1150.3306	90.2141
1151.2948	89.9323
1152.2590	89.6243
1153.2233	89.2822
1154.1875	88.9033
1155.1517	88.4984
1156.1160	88.0968
1157.0802	87.7417
1158.0444	87.4772
1159.0087	87.3324
1159.9729	87.3087
1160.9371	87.3773
1161.9014	87.4859
1162.8656	87.5711
1163.8298	87.5711
1164.7941	87.433
1165.7583	87.1129
1166.7225	86.5701
1167.6868	85.757
1168.6510	84.6135
1169.6152	83.0759
1170.5795	81.1063
1171.5437	78.7413
1172.5079	76.1385
1173.4722	73.5904
1174.4364	71.4819
1175.4006	70.1913
