TITLE	
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/10/20
TIME	14:31:53
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	 1999.8202
LASTX	 6500.8621
NPOINTS	    4669
FIRSTY	    96.35234
MAXY	   103.58340
MINY	    89.49360
XYDATA
1999.8202	96.3523
2000.7844	96.3975
2001.7487	96.4427
2002.7129	96.4816
2003.6771	96.5113
2004.6414	96.5305
2005.6056	96.5387
2006.5698	96.5365
2007.5341	96.5279
2008.4983	96.52
2009.4625	96.5184
2010.4268	96.5236
2011.3910	96.5287
2012.3552	96.5234
2013.3195	96.5013
2014.2837	96.4656
2015.2479	96.4292
2016.2122	96.4075
2017.1764	96.409
2018.1406	96.4299
2019.1049	96.4568
2020.0691	96.4763
2021.0333	96.4826
2021.9976	96.4788
2022.9618	96.4724
2023.9260	96.4689
2024.8903	96.4695
2025.8545	96.4721
2026.8187	96.4753
2027.7830	96.4791
2028.7472	96.4819
2029.7114	96.478
2030.6757	96.4586
2031.6399	96.4166
2032.6041	96.3537
2033.5684	96.2823
2034.5326	96.2212
2035.4968	96.1864
2036.4611	96.1834
2037.4253	96.2062
2038.3895	96.2421
2039.3538	96.278
2040.3180	96.3044
2041.2822	96.316
2042.2465	96.3103
2043.2107	96.2864
2044.1749	96.2464
2045.1392	96.1967
2046.1034	96.1477
2047.0676	96.1103
2048.0320	96.0912
2048.9961	96.0892
2049.9604	96.097
2050.9246	96.1056
2051.8889	96.1093
2052.8530	96.1075
2053.8174	96.1026
2054.7815	96.0972
2055.7458	96.0911
2056.7100	96.0821
2057.6743	96.067
2058.6384	96.0439
2059.6028	96.0132
2060.5669	95.9769
2061.5313	95.9385
2062.4954	95.903
2063.4597	95.876
2064.4238	95.8627
2065.3882	95.8645
2066.3523	95.8774
2067.3167	95.8932
2068.2808	95.9031
2069.2451	95.9022
2070.2092	95.8917
2071.1736	95.8767
2072.1377	95.8616
2073.1021	95.8466
2074.0662	95.8277
2075.0305	95.8009
2075.9946	95.7671
2076.9590	95.7336
2077.9231	95.7112
2078.8875	95.7079
2079.8516	95.7236
2080.8159	95.75
2081.7800	95.7737
2082.7444	95.7834
2083.7085	95.7741
2084.6729	95.7491
2085.6370	95.717
2086.6013	95.6875
2087.5654	95.6675
2088.5298	95.6592
2089.4939	95.6607
2090.4583	95.6675
2091.4224	95.6748
2092.3867	95.6793
2093.3508	95.6799
2094.3152	95.6781
2095.2793	95.6766
2096.2437	95.6778
2097.2078	95.6823
2098.1721	95.6883
2099.1362	95.693
2100.1006	95.6937
2101.0647	95.6894
2102.0291	95.6807
2102.9932	95.6687
2103.9575	95.6541
2104.9216	95.6362
2105.8860	95.6147
2106.8501	95.59
2107.8145	95.5646
2108.7786	95.5421
2109.7429	95.5256
2110.7070	95.5159
2111.6714	95.5115
2112.6355	95.5091
2113.5999	95.5064
2114.5640	95.503
2115.5283	95.5002
2116.4924	95.4999
2117.4568	95.502
2118.4209	95.5047
2119.3853	95.5053
2120.3494	95.5026
2121.3137	95.4983
2122.2778	95.4954
2123.2422	95.4957
2124.2063	95.4984
2125.1707	95.5001
2126.1348	95.4989
2127.0991	95.4968
2128.0632	95.5004
2129.0276	95.5167
2129.9917	95.5474
2130.9561	95.5864
2131.9202	95.6217
2132.8845	95.6416
2133.8486	95.6417
2134.8130	95.6263
2135.7771	95.605
2136.7415	95.5861
2137.7056	95.5727
2138.6699	95.564
2139.6340	95.5596
2140.5984	95.5628
2141.5625	95.5786
2142.5269	95.6088
2143.4910	95.6486
2144.4553	95.687
2145.4194	95.7137
2146.3838	95.7249
2147.3479	95.7262
2148.3123	95.7276
2149.2764	95.7356
2150.2407	95.7489
2151.2048	95.759
2152.1692	95.758
2153.1333	95.7448
2154.0977	95.7266
2155.0618	95.7138
2156.0261	95.7115
2156.9902	95.7153
2157.9546	95.7133
2158.9187	95.6945
2159.8831	95.6573
2160.8472	95.61
2161.8115	95.5643
2162.7756	95.5274
2163.7400	95.499
2164.7041	95.4734
2165.6685	95.4448
2166.6326	95.4112
2167.5969	95.3756
2168.5610	95.3447
2169.5254	95.326
2170.4895	95.3249
2171.4539	95.342
2172.4180	95.3712
2173.3823	95.4006
2174.3464	95.4165
2175.3108	95.4086
2176.2749	95.3753
2177.2393	95.3238
2178.2034	95.2661
2179.1677	95.2132
2180.1318	95.1714
2181.0962	95.1424
2182.0603	95.1257
2183.0247	95.1203
2183.9888	95.124
2184.9531	95.132
2185.9172	95.1366
2186.8816	95.1298
2187.8457	95.1085
2188.8101	95.0769
2189.7742	95.0449
2190.7385	95.0231
2191.7026	95.0172
2192.6670	95.0253
2193.6311	95.0394
2194.5955	95.0498
2195.5596	95.0493
2196.5239	95.036
2197.4880	95.0133
2198.4524	94.9877
2199.4165	94.9663
2200.3809	94.9536
2201.3450	94.9495
2202.3093	94.9498
2203.2734	94.9484
2204.2378	94.9409
2205.2019	94.9274
2206.1663	94.9124
2207.1304	94.9017
2208.0947	94.8996
2209.0588	94.9055
2210.0232	94.9148
2210.9873	94.9207
2211.9517	94.917
2212.9158	94.9
2213.8801	94.8699
2214.8442	94.83
2215.8086	94.7865
2216.7727	94.7474
2217.7371	94.7199
2218.7012	94.7085
2219.6655	94.7128
2220.6296	94.7275
2221.5940	94.7437
2222.5581	94.7518
2223.5225	94.7448
2224.4866	94.7196
2225.4509	94.6788
2226.4150	94.6288
2227.3794	94.5787
2228.3435	94.5372
2229.3079	94.5104
2230.2720	94.4992
2231.2363	94.4989
2232.2004	94.5005
