TITLE	
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/10/20
TIME	14:24:49
SPECTROMETER/DATA SYSTEM	
LOCALE	1033
RESOLUTION	
DELTAX	0.964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	 1999.8202
LASTX	 6500.8621
NPOINTS	    4669
FIRSTY	    99.26371
MAXY	   104.28822
MINY	    77.57877
XYDATA
1999.8202	99.2637
2000.7844	99.3075
2001.7487	99.3697
2002.7129	99.4391
2003.6771	99.5025
2004.6414	99.5493
2005.6056	99.5765
2006.5698	99.5902
2007.5341	99.6018
2008.4983	99.6207
2009.4625	99.648
2010.4268	99.6756
2011.3910	99.6908
2012.3552	99.6844
2013.3195	99.6559
2014.2837	99.6149
2015.2479	99.5774
2016.2122	99.5588
2017.1764	99.5671
2018.1406	99.5987
2019.1049	99.6407
2020.0691	99.6768
2021.0333	99.6962
2021.9976	99.698
2022.9618	99.6917
2023.9260	99.6918
2024.8903	99.7094
2025.8545	99.7457
2026.8187	99.7905
2027.7830	99.827
2028.7472	99.8405
2029.7114	99.8254
2030.6757	99.7877
2031.6399	99.7408
2032.6041	99.6995
2033.5684	99.6734
2034.5326	99.6646
2035.4968	99.6697
2036.4611	99.683
2037.4253	99.7007
2038.3895	99.7207
2039.3538	99.7418
2040.3180	99.762
2041.2822	99.7783
2042.2465	99.7887
2043.2107	99.7937
2044.1749	99.7971
2045.1392	99.8037
2046.1034	99.8163
2047.0676	99.8329
2048.0320	99.8473
2048.9961	99.8519
2049.9604	99.8428
2050.9246	99.8219
2051.8889	99.7965
2052.8530	99.7759
2053.8174	99.7666
2054.7815	99.7707
2055.7458	99.7851
2056.7100	99.8039
2057.6743	99.8205
2058.6384	99.8298
2059.6028	99.8289
2060.5669	99.8186
2061.5313	99.8029
2062.4954	99.7897
2063.4597	99.7873
2064.4238	99.8003
2065.3882	99.8258
2066.3523	99.854
2067.3167	99.8724
2068.2808	99.8737
2069.2451	99.8597
2070.2092	99.84
2071.1736	99.8257
2072.1377	99.8232
2073.1021	99.8302
2074.0662	99.8387
2075.0305	99.8402
2075.9946	99.8313
2076.9590	99.8153
2077.9231	99.7996
2078.8875	99.7914
2079.8516	99.7943
2080.8159	99.8071
2081.7800	99.824
2082.7444	99.8379
2083.7085	99.8433
2084.6729	99.8389
2085.6370	99.8283
2086.6013	99.8183
2087.5654	99.8149
2088.5298	99.8199
2089.4939	99.8296
2090.4583	99.8374
2091.4224	99.838
2092.3867	99.8301
2093.3508	99.8179
2094.3152	99.8074
2095.2793	99.8035
2096.2437	99.807
2097.2078	99.8159
2098.1721	99.8275
2099.1362	99.8405
2100.1006	99.8558
2101.0647	99.8742
2102.0291	99.8942
2102.9932	99.9108
2103.9575	99.9169
2104.9216	99.9064
2105.8860	99.8779
2106.8501	99.8367
2107.8145	99.7937
2108.7786	99.7611
2109.7429	99.7476
2110.7070	99.7547
2111.6714	99.7763
2112.6355	99.8024
2113.5999	99.8235
2114.5640	99.8338
2115.5283	99.8316
2116.4924	99.818
2117.4568	99.7951
2118.4209	99.7655
2119.3853	99.7339
2120.3494	99.7072
2121.3137	99.6929
2122.2778	99.6954
2123.2422	99.7123
2124.2063	99.7349
2125.1707	99.7522
2126.1348	99.7578
2127.0991	99.7537
2128.0632	99.749
2129.0276	99.7544
2129.9917	99.7749
2130.9561	99.8063
2131.9202	99.8376
2132.8845	99.8568
2133.8486	99.8575
2134.8130	99.8417
2135.7771	99.8176
2136.7415	99.7949
2137.7056	99.7791
2138.6699	99.7707
2139.6340	99.7665
2140.5984	99.7632
2141.5625	99.761
2142.5269	99.7631
2143.4910	99.7743
2144.4553	99.7967
2145.4194	99.8279
2146.3838	99.8611
2147.3479	99.8888
2148.3123	99.9057
2149.2764	99.9105
2150.2407	99.9038
2151.2048	99.8855
2152.1692	99.8547
2153.1333	99.8121
2154.0977	99.7629
2155.0618	99.7184
2156.0261	99.692
2156.9902	99.6928
2157.9546	99.7196
2158.9187	99.7617
2159.8831	99.804
2160.8472	99.8357
2161.8115	99.8525
2162.7756	99.8545
2163.7400	99.8426
2164.7041	99.8176
2165.6685	99.7821
2166.6326	99.742
2167.5969	99.705
2168.5610	99.6771
2169.5254	99.6584
2170.4895	99.6437
2171.4539	99.6245
2172.4180	99.5935
2173.3823	99.5478
2174.3464	99.49
2175.3108	99.4273
2176.2749	99.37
2177.2393	99.3292
2178.2034	99.314
2179.1677	99.3293
2180.1318	99.3733
2181.0962	99.4372
2182.0603	99.5078
2183.0247	99.5716
2183.9888	99.6188
2184.9531	99.645
2185.9172	99.6511
2186.8816	99.6413
2187.8457	99.6213
2188.8101	99.5973
2189.7742	99.575
2190.7385	99.5588
2191.7026	99.5502
2192.6670	99.5477
2193.6311	99.5461
2194.5955	99.5377
2195.5596	99.5143
2196.5239	99.4698
2197.4880	99.4022
2198.4524	99.3156
2199.4165	99.2194
2200.3809	99.1255
2201.3450	99.0446
2202.3093	98.9827
2203.2734	98.9405
2204.2378	98.9142
2205.2019	98.8981
2206.1663	98.8869
2207.1304	98.875
2208.0947	98.8558
2209.0588	98.8198
2210.0232	98.754
2210.9873	98.6431
2211.9517	98.4713
2212.9158	98.2247
2213.8801	97.8924
2214.8442	97.4661
2215.8086	96.9381
2216.7727	96.2971
2217.7371	95.5237
2218.7012	94.5865
2219.6655	93.44
2220.6296	92.0287
2221.5940	90.3007
2222.5581	88.2337
2223.5225	85.8709
2224.4866	83.354
2225.4509	80.9359
2226.4150	78.9517
2227.3794	77.7473
2228.3435	77.5788
2229.3079	78.5244
2230.2720	80.4463
2231.2363	83.0249
2232.2004	85.8544
